date,market,1d_ta,7d_ta,30d_ta
2023-05-04,DAI aave_v2,3.8872490056175932,4.378410206293369,3.2352755696072717
2023-05-03,DAI aave_v2,3.8638939181109158,4.329959833814345,3.178116587237037
2023-05-02,DAI aave_v2,3.8322306816248055,4.283884056642734,3.1195551179726064
2023-05-01,DAI aave_v2,3.82466971181247,4.26282660068546,3.0600912747995057
2023-04-30,DAI aave_v2,4.034811729081814,4.256591896694483,2.9998115893935204
2023-04-29,DAI aave_v2,4.458965591061432,4.224107440494133,2.932014877634732
2023-04-28,DAI aave_v2,6.747050806744548,4.125698967720988,2.849549191723239
2023-04-27,DAI aave_v2,3.5480963982644345,3.6892966172484996,2.6893510119143
2023-04-26,DAI aave_v2,3.541363477909633,3.7116937457755768,2.63475886905636
2023-04-25,DAI aave_v2,3.6848284899238886,3.7058851861412077,2.57865300682728
2023-04-24,DAI aave_v2,3.781026783875634,3.6898245466245116,2.5087483525653718
2023-04-23,DAI aave_v2,3.807420535679357,3.5777020153228944,2.4352081694072805
2023-04-22,DAI aave_v2,3.770106281649419,3.362247154018561,2.3601437156998935
2023-04-21,DAI aave_v2,3.6922343534371316,3.1486327945579284,2.2832516520736448
2023-04-20,DAI aave_v2,3.704876297953975,2.9394614215162345,2.2077802816238132
2023-04-19,DAI aave_v2,3.5007035604690477,2.7431333984511763,2.1305776139708366
2023-04-18,DAI aave_v2,3.5724040133070187,2.5873450718869675,2.059558308817309
2023-04-17,DAI aave_v2,2.996169064764313,2.400444438875375,1.9857249131668484
2023-04-16,DAI aave_v2,2.2992365065490215,2.2846718992635076,1.9407949096193282
2023-04-15,DAI aave_v2,2.2748057654249907,2.26310287781748,1.9322846035149854
2023-04-14,DAI aave_v2,2.228034742145275,2.245190768152083,1.914464200076004
2023-04-13,DAI aave_v2,2.330580136498569,2.2338931554174213,1.888979935562188
2023-04-12,DAI aave_v2,2.4101852745195838,2.21087028713085,1.849241265015876
2023-04-11,DAI aave_v2,2.2640995822258714,2.1810462802561825,1.8011811456137998
2023-04-10,DAI aave_v2,2.185761287481242,2.1679577020111367,1.762206484581686
2023-04-09,DAI aave_v2,2.148253356426828,2.1567132095392445,1.7500891152855178
2023-04-08,DAI aave_v2,2.1494209977672085,2.14243635668281,1.7673790057202394
2023-04-07,DAI aave_v2,2.1489514530026446,2.1234160926636263,1.7940150391384102
2023-04-06,DAI aave_v2,2.169420058492572,2.102267367422985,1.8204770772556402
2023-04-05,DAI aave_v2,2.20141722639691,2.075920932454996,1.8460054721344037
2023-04-04,DAI aave_v2,2.1724795345105514,2.0387335304663483,1.870809137623657
2023-04-03,DAI aave_v2,2.107049840177998,2.0012838987543025,1.8964819298045386
2023-04-02,DAI aave_v2,2.048315386431784,1.965732151734193,1.9277814193852263
2023-04-01,DAI aave_v2,2.0162791496329233,1.8999283625391732,1.9595942461527207
2023-03-31,DAI aave_v2,2.0009103763181537,1.8368629538963113,1.996060629087849
2023-03-30,DAI aave_v2,1.984995013716649,1.7732310322019664,2.030136562316827
2023-03-29,DAI aave_v2,1.941105412476379,1.6987095120798692,2.0584972366596803
